run_accession	experiment_title	collection_date	country	instrument_platform
ERR12385057	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-08	Spain	ILLUMINA
ERR12385058	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-08	Spain	ILLUMINA
ERR12385060	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-14	Spain	ILLUMINA
ERR12385061	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-14	Spain	ILLUMINA
ERR12385063	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-07	Spain	ILLUMINA
ERR12385066	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-02	Spain	ILLUMINA
ERR12385079	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-06	Spain	ILLUMINA
ERR12385087	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-13	Spain	ILLUMINA
ERR12385092	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-04	Spain	ILLUMINA
ERR12385096	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-05	Spain	ILLUMINA
ERR12385101	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-05	Spain	ILLUMINA
ERR12385102	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-05	Spain	ILLUMINA
ERR12385115	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-13	Spain	ILLUMINA
ERR12385116	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-13	Spain	ILLUMINA
ERR12385118	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-19	Spain	ILLUMINA
ERR12385120	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-19	Spain	ILLUMINA
ERR12385123	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-19	Spain	ILLUMINA
ERR12385126	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-19	Spain	ILLUMINA
